d-08-2026 10:46:00 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 1 detection(s)
d-08-2026 10:46:00 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 2 detection(s)
d-08-2026 10:46:00 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 1, humans: 2
d-08-2026 10:46:02 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:46:02 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 2 detection(s)
d-08-2026 10:46:02 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 1, humans: 2
d-08-2026 10:46:02 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 1 detection(s)
d-08-2026 10:46:04 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:46:04 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 1 detection(s)
d-08-2026 10:46:04 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 2 detection(s)
d-08-2026 10:46:04 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 1, humans: 2
d-08-2026 10:46:06 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 2 detection(s)
d-08-2026 10:46:06 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 1, humans: 2
d-08-2026 10:46:06 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:46:06 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 1 detection(s)
d-08-2026 10:46:07 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:46:07 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 1 detection(s)
d-08-2026 10:46:08 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 2 detection(s)
d-08-2026 10:46:08 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 1, humans: 2
d-08-2026 10:46:09 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:46:09 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 2 detection(s)
d-08-2026 10:46:09 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 1, humans: 2
d-08-2026 10:46:09 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 1 detection(s)
d-08-2026 10:46:10 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:46:10 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 1 detection(s)
d-08-2026 10:46:11 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 2 detection(s)
d-08-2026 10:46:11 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 1, humans: 2
d-08-2026 10:46:12 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:46:12 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 2 detection(s)
d-08-2026 10:46:12 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 1, humans: 2
d-08-2026 10:46:13 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 1 detection(s)
d-08-2026 10:46:14 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:46:14 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 1 detection(s)
d-08-2026 10:46:15 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 2 detection(s)
d-08-2026 10:46:15 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 1, humans: 2
d-08-2026 10:46:16 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:46:16 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 2 detection(s)
d-08-2026 10:46:16 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 1, humans: 2
